x,y,sim1,sim2,sim3,sim4,sim5
8.5,9.75,0.925805092,1.205639482,1.195084214,1.021843553,1.074115515
8.125,9,0.971894026,0.706541777,1.159005284,1.059645176,1.083742738
9,3.75,0.939573169,1.657840014,1.12802875,0.950738013,1.264775276
9.125,3.125,1.001178861,1.244689107,1.09826839,0.978675067,1.251865625
1.375,4.25,1.152491808,0.472975433,1.046515107,0.847523391,1.043830872
5.875,7.375,0.880663514,0.978077948,1.242216825,1.08078444,0.985083342
8.75,7,0.955086708,1.013258576,1.093644977,1.087928414,1.13248682
6.125,4.75,1.123922825,0.960606337,1.22928977,0.9757303,1.159424901
8.625,9.125,1.10284996,1.171526909,1.180639625,1.078880191,1.028369069
1.75,7.125,0.788256168,1.201616764,1.115509033,0.818168104,0.857074916
3.625,7.125,0.939356744,0.39096266,1.063728213,0.854795873,0.933807969
7.75,8.25,0.868650496,0.928180814,1.112931609,1.09403646,0.918925703
5,8.375,1.095284462,0.254521281,1.237606525,1.15848434,0.952652276
8.75,8,0.938272476,1.093260646,1.157890081,1.000709414,1.145751595
0.75,0.75,1.052948475,0.96171999,1.058492184,0.912780285,0.969519556
0.5,8.125,0.69102025,0.633161366,1.19484508,0.775693119,0.717716634
1.875,4.875,1.019033432,0.962397754,1.152614594,0.761505365,1.112687707
9,5.375,0.875499845,1.179655194,1.076845169,1.025667071,1.288105845
0.5,5.875,1.041236162,1.161519289,1.222906947,0.812234879,0.938684642
9.875,5.125,0.927676022,0.861435473,1.086926818,0.97214973,1.248962522
8,4.25,0.982147872,0.947899401,1.235042334,1.012584805,1.296479702
1.75,8,0.714168072,1.190940857,1.060691595,0.885615647,0.886245072
0.625,4.625,1.163412929,0.963682532,1.142797589,1.010976911,0.959308207
3.375,5.75,1.019183636,0.741889477,1.180724263,0.821265519,1.021002173
9.625,3.75,1.057213664,1.366793871,1.230233431,1.016643405,1.342866421
8.375,4.5,0.916496933,1.025204659,1.074116588,1.048921347,1.281719565
1.875,5.375,1.012130737,0.690230727,1.189761043,0.712368667,0.951055884
3.625,6.75,0.908857226,0.536827087,0.991732359,0.805854201,0.927854776
3.5,2.625,1.361824155,0.747976542,1.03755784,0.762087762,1.084985256
2.875,2.875,1.24513948,1.285308719,0.994147956,0.800860107,1.181765199
8.875,6.25,0.891133547,1.298481464,1.058205366,1.009809256,1.193667293
8.875,8,0.976506233,0.80063194,1.182209015,1.011123657,1.166123271
6.25,8.125,0.884069204,0.783471167,1.359161258,1.110681891,0.96198374
3,9.375,0.745494246,1.202080607,1.041562796,1.025225759,0.783558428
1.375,9.875,0.7093153,1.106540918,0.995457172,0.943539679,0.579725742
7.75,2.5,1.030170083,0.799467742,1.192289829,0.795871496,1.231500864
2.375,1.875,1.138282776,0.983621299,0.960300028,0.914388835,1.105941772
5,6.875,0.938424766,1.38771677,1.228051782,1.000779986,0.781915009
0.25,10,0.919489503,1.154562354,1.108874798,0.881427526,0.68124038
0.625,9.5,0.800014436,0.462319791,1.087569952,0.900187194,0.713289917
1.5,9.125,0.70139426,0.902384698,1.105226636,0.995079756,0.638243198
8.375,7.75,0.924673855,1.251761913,1.165674448,0.974124551,1.12868619
6.875,1.875,1.230488062,0.738532424,1.245049477,0.910028696,1.231016874
4.5,0.125,1.248981953,0.310427666,1.223572493,0.822215974,1.228441477
1.875,0.5,1.109183788,0.980986178,0.903716266,0.854977667,1.093319535
9.5,3.75,1.07749784,1.336654663,1.191657662,0.970832288,1.363915205
1.25,0.875,1.098669529,1.036213517,0.88767767,0.986631453,1.000533342
0.75,1.125,1.020600438,1.016941071,1.030199409,0.931973934,0.916503906
2.625,4.75,0.953925073,1.089006543,0.974906862,0.793359399,1.051663518
1.875,5.5,1.041643262,1.260459423,1.209815621,0.714214742,1.039420485
8.625,7.5,0.946149707,1.347165704,1.212043405,1.057828307,1.116239429
4.75,4.75,1.167705536,1.348170042,1.193701982,0.784890294,1.0964607
7.75,3.25,1.035412669,0.805417955,1.220567703,0.955307484,1.269649982
0.25,7.625,0.853986681,0.940060437,1.160715222,0.777684152,0.75184691
6.5,9.875,1.077898026,0.702416241,1.244183064,1.030649543,0.955264032
8.875,2.875,1.015862823,0.967617989,1.11792028,0.990056813,1.252260923
4,8.375,0.944636464,0.802932978,1.108839273,1.057783008,1.09280026
0,5.875,0.953647554,0.959263861,1.218708992,0.742147505,0.926666081
9.375,3.5,1.020449877,1.51700294,1.188999653,0.940284133,1.264051318
7.375,8.875,0.997996271,1.208864212,1.220192194,1.004039288,1.053937316
5.125,3.125,1.304382205,1.144844174,1.192102194,0.852939844,1.088802934
0.75,0.25,1.120179176,0.985229313,1.094872355,0.770194769,1.100732446
3.875,2.625,1.373607278,0.955271244,1.107860565,0.843889296,1.081707478
7.25,8.875,1.004161239,1.350010514,1.28075397,1.050297499,1.031746387
9.5,5.5,0.900876641,0.695986092,1.080278635,1.057286263,1.301179051
3.25,6.875,0.948937118,0.647904694,1.001668096,0.775596499,0.946924567
4.125,0,1.261047602,1.136999846,1.14325285,0.73008883,1.25734818
5.125,8.75,1.04382205,0.695626318,1.28254807,1.213789105,0.867998004
3.125,4,1.154592395,1.237595201,0.929173648,0.7891137,1.067315102
1.25,6.25,0.938206315,1.03252244,1.152000785,0.68340677,0.869711816
3.25,2.375,1.308219552,0.568767667,0.947013378,0.779326439,1.070072055
4.875,9.5,0.976298034,1.152111888,1.196837902,1.090286493,0.736694098
5.875,6.5,0.858510673,0.805146575,1.257489681,0.963476241,0.936613679
7.25,9.125,0.927594721,1.273568392,1.279948711,1.106292725,1.018313766
9.625,5.75,0.989271343,0.878884852,1.160075784,1.090647936,1.220269203
1.5,9.25,0.751740694,0.925821483,1.083799362,1.004665375,0.681944668
5.625,7.375,0.959810734,0.913128257,1.235618353,1.098522663,0.911405683
1.25,5,1.006877899,1.118456602,1.18942368,0.883100748,0.99972862
4.25,6.125,1.03094399,1.230007648,1.156582594,0.920587242,0.980332494
3.75,7.875,0.876466334,1.001569033,1.011478424,0.936846137,0.969549477
7.25,7.125,0.950908959,1.047853708,1.168286681,0.899044514,1.15631628
0.375,8.125,0.732945442,0.633794665,1.244842529,0.745545924,0.772349775
0.125,8.125,0.731595397,0.785690129,1.203976035,0.775961876,0.738712192
8.75,1.75,1.126027465,1.047433257,1.151410937,1.007071376,1.185993075
0.5,4.75,1.17549777,1.243831277,1.075278759,0.984869361,0.946945488
7.625,1.625,1.251189828,0.669913113,1.233479738,0.904350638,1.334811807
9.875,5.875,0.982497334,0.740983844,1.209268451,1.037674189,1.274349332
1.625,0.125,1.123888731,1.172412634,0.920580208,0.813926518,0.978430271
0.125,0.375,1.079402328,0.862165093,1.131190538,0.74286437,0.899440765
8.75,4.75,1.034705043,1.482749939,1.085981369,0.976409614,1.219074368
5.625,1.5,1.29808259,1.449824572,1.223692536,0.951858282,1.284192324
1.25,1.875,1.011579156,0.967900574,0.910596192,0.922069013,1.001108408
5.125,2.5,1.289759517,1.398061037,1.156173468,0.730762541,1.269629836
8.25,7.625,0.899101913,1.16798377,1.207039595,0.953003287,1.074738979
8,8.75,1.021707296,0.899938583,1.15139842,1.033927083,1.064546466
4.5,1.625,1.314950466,2.15153861,1.032534719,0.921315491,1.185158134
1,1.125,1.125339389,1.0356462,0.966316164,0.891473472,0.924432337
8.125,9.5,0.926761806,0.487711042,1.220584035,1.039412618,1.080395341
5.125,0.5,1.152909756,1.186838865,1.31531775,0.934787869,1.290530443
2.875,9.625,0.731818318,1.071912766,0.972975969,0.966224432,0.785744309
8.375,5.375,1.033082128,0.944263875,0.984883487,1.091129303,1.241891623
0.25,2.75,1.022716641,0.957143724,1.048702121,0.877636552,1.005486488
2.125,4.75,1.072373271,0.896233916,1.036988616,0.838946342,1.047847033
3.625,4.625,1.122464538,0.865736365,1.113161206,0.686412394,1.14842701
8.5,3.75,0.986157179,1.126691937,1.300738215,0.948411584,1.378138185
7.5,9.625,0.981358051,0.70681566,1.245164752,1.075440526,1.15272367
9.625,4.25,0.944087684,0.988786817,1.192238092,0.924196005,1.281813145
1.375,7,0.809862077,1.319427848,1.08132875,0.774834573,0.853060961
2.375,0.375,1.19632709,1.09656167,0.936992764,0.730220377,1.078243375
5.75,7.5,1.00726819,1.102589846,1.235853434,1.087300777,0.935773253
5.75,9.625,0.934245586,0.848007202,1.250445247,1.105997562,0.858059406
2.5,5.125,1.004340649,1.061583996,1.100006104,0.785846829,1.077533007
4.125,5.5,1.115119576,1.048398256,1.192531586,0.768883526,1.055367827
8.75,1.5,1.231760502,1.161513686,1.020722151,0.930616021,1.238524318
5.25,0,1.138668299,0.686007619,1.344984293,0.862823904,1.156802893
9.875,0,1.078202724,0.825303376,1.043878794,0.793277025,1.366598129
6.5,0.25,1.115543365,1.557317972,1.25746727,0.892231286,1.238013148
0.625,5.5,1.000634074,0.994572222,1.218222499,0.885753393,0.967551649
8.5,6.125,0.944507182,1.251716018,1.053840637,1.027541518,1.199353099
2.5,1.25,1.234130502,0.988356054,0.935499728,0.910108209,0.986563563
3.125,3.375,1.279188275,1.439434528,1.034948468,0.859125614,1.070358992
0.25,3.875,1.118308187,0.744195938,1.024018288,0.990931511,1.013117671
8.625,4,0.876429796,1.485032082,1.300668836,1.056014895,1.365687847
9.5,2.875,0.911935925,0.981377959,1.115980387,0.961549044,1.227508903
9.375,0.125,1.162345409,0.948542535,1.000687122,0.94888103,1.301169753
8.25,3.625,1.055042028,0.953534842,1.282081127,0.940538406,1.274561644
0.125,8.625,0.79884541,0.989655197,1.181723833,0.858595133,0.695139706
4.25,6,1.025292635,0.856644273,1.123261571,0.847889125,0.954605818
2.75,1,1.216327667,1.028803468,0.834892154,0.961900413,1.065412879
5.375,2.25,1.29612577,1.252418399,1.18043375,0.755791426,1.176116109
9.625,1.25,1.15905416,0.777191401,1.017134666,0.967476845,1.21998477
6.375,3.375,1.21795249,1.160169721,1.281990886,0.946427464,1.190337777
9.625,3.25,0.987837791,0.938072681,1.186949015,1.014327526,1.181669831
9.75,2.625,0.90136975,1.119372129,1.245375514,0.916769564,1.246685743
4.75,5.125,1.148495674,1.392435074,1.184114218,0.758825123,1.038505197
0.5,0.75,1.047032595,0.54663837,1.075552225,0.945094466,1.01085341
7.125,3.625,1.142435074,0.910737991,1.256692886,0.990733564,1.252835155
0.75,2.25,1.064729691,0.953422308,0.953680277,0.833796084,1.009938598
3.25,0.375,1.246048212,0.024749389,1.023667574,0.838529706,1.162287951
9,1.5,1.232396722,1.439835787,1.038675904,0.917577207,1.262300491
6.25,8.625,1.057572246,0.987455845,1.369552732,1.103529334,1.01892519
0.5,9.75,0.837400317,1.396684051,1.206620455,0.915328264,0.690732002
3.5,2.5,1.313750982,0.63275969,0.995540202,0.786637008,1.07765913
4.125,8.625,0.923919618,1.137370348,1.168235302,1.06153357,0.981056929
6.125,6,0.958693624,0.955090821,1.303641438,1.012581348,1.052493811
5.875,8,0.99786061,0.971614242,1.358900189,1.150993347,0.968709528
2.625,8.375,0.824967146,1.012003779,0.915614009,0.953557551,0.871689618
0.125,1.625,1.070596814,0.806149185,1.054906607,0.922293663,0.957662225
8,7.625,0.931952059,1.231882453,1.178939342,0.983397186,1.035777807
9.125,0.875,1.215178251,0.816848457,0.900514662,0.969853759,1.309607863
7.125,9.75,0.930672824,0.874767482,1.149753809,0.983149946,1.212839246
9.5,3.25,1.007053256,1.030836225,1.13499105,0.944339395,1.236955404
2,7.125,0.738561809,0.78392303,1.047643542,0.838245571,0.867000103
3.5,4.5,1.113891721,0.972703576,1.068851233,0.678768933,1.123610735
2.875,6.375,0.973157883,1.324529886,1.037518263,0.75549376,0.915660024
8.625,1.125,1.229016423,0.792717099,0.985263407,0.912457108,1.305098772
3.75,5.125,1.131991267,1.171242356,1.208957911,0.772909582,1.066011548
4,8.5,0.867183805,0.980836987,1.079569578,1.101986647,1.036589265
8.25,6.625,0.99451828,0.899412811,1.152296066,1.057611227,1.154064655
10,8.25,0.897529185,1.114423871,1.299853802,1.080449939,1.04901576
3.875,9.625,0.827107549,0.677318096,1.104572654,1.130895376,0.875824749
9.875,8.75,1.044480443,0.736054182,1.161047935,1.016465068,0.956989348
4,2.375,1.390006423,1.40438056,1.058005333,0.851228297,1.130266309
0.375,8.25,0.735826671,0.690064013,1.194833875,0.711046219,0.666700065
5.5,7.875,1.058197141,1.16541481,1.325998783,1.108900905,0.920908511
8.125,6.125,1.028115392,0.874047577,1.063995957,1.129629493,1.151060224
0.75,8.75,0.738506138,1.143990159,1.119211555,0.866082728,0.702219069
2.625,3.875,1.057064176,0.968872726,0.948983908,0.860412359,1.034623981
1.875,1.625,1.033450127,0.521856666,0.905990303,0.884533584,1.011572003
0.375,9.5,0.801507473,1.092665195,1.161611199,0.890443921,0.714191556
6.875,2.875,1.14340055,0.957736373,1.279347658,0.873921216,1.214857936
9.5,8.625,1.096600413,1.301260948,1.167143703,1.024478674,1.136708736
