addresskey,name,goog_lat,goog_lng,place_id,vicinity,price_level,rating,types,user_ratings_total
8693068,The Duke of Wellington,51.546283,-0.0805751,ChIJR_m-IZAcdkgRH3QEyIRPHMY,"119 Balls Pond Rd, London",2,4.1,"bar,point_of_interest,establishment",363
9505051,The Bell & Gate,51.5961068,0.164353,ChIJM-emWJ-k2EcRcWzPnvGPLYo,"248 Collier Row Ln, Romford",2,4.3,"bar,point_of_interest,establishment",82
9708082,The Windsor Castle,51.5063152,-0.1986713,ChIJqWZt3PoPdkgRDPKhKc_l0PI,"114 Campden Hill Rd, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",787
10481072,The Railway Tavern,51.4077977,0.0164924,ChIJ4Wo4iWyq2EcRvczMq7ThVgI,"45 East St, Bromley",2,4.2,"bar,restaurant,food,point_of_interest,establishment",408
10635084,UNION,51.4769938,-0.168363,ChIJF4e-a3QFdkgR9s6De3k03mY,"109 Battersea Bridge Rd, London",1,4.3,"bar,point_of_interest,establishment",41
10918081,The Village Inn,51.5058333,-0.3372222,ChIJeakRRnoNdkgRFDV056xstsQ,"66 Lower Boston Rd, London",,4.1,"bar,point_of_interest,establishment",87
11215053,The Ranelagh,51.6087668,-0.1271494,ChIJX2uicWUZdkgRseqsouZ82-M,"82 Bounds Green Rd, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",679
11821075,Crown & Anchor,51.471358,-0.112782,ChIJcxYevmEEdkgRHqb7wK10g1k,"246 Brixton Rd, London",2,4.3,"bar,point_of_interest,establishment",733
11929071,The Gun PIt,51.4909269,0.0695459,ChIJcaVFoYip2EcRdotHa4qLXTM,"Beresford Square, London",,3.1,"lodging,bar,point_of_interest,establishment",8
12522072,The Freelands Tavern,51.4102162,0.0245234,ChIJdTwU9D-q2EcR7JISr0fNoeY,"31 Freelands Rd, Bromley",2,4.5,"bar,point_of_interest,establishment",93
13243071,The Graduate,51.4732219,-0.0154351,ChIJ05M9_fADdkgRzdlIPtKlWvA,"107-109 Blackheath Rd, London",,4.3,"bar,point_of_interest,establishment",83
13998075,The Golden Goose,51.478151,-0.1034474,ChIJgbbdd4YEdkgRR8xNGLL_Q6g,"148 Camberwell New Rd, London",,3.9,"bar,point_of_interest,establishment",45
14102068,The Gunners,51.558925,-0.098786,ChIJPZQrmoEbdkgRYkei5lsTuCc,"204 Blackstock Rd, London",2,4.4,"bar,point_of_interest,establishment",505
14166068,The Woodbine - Irish Pub,51.5595238,-0.0984693,ChIJ9x_8oIEbdkgRP9JWg6B6kYs,"The Woodbine, 215 Blackstock Rd, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",210
14296068,The Arsenal Taven,51.560997,-0.0983869,ChIJDTpIpYwbdkgRbJ6OTDdbuAE,"175 Blackstock Rd, London",,4,"bar,point_of_interest,establishment",21
14320052,St Brides Tavern,51.5132665,-0.1046673,ChIJORNybq0EdkgRaL9mkgNbivM,"1 Bridewell Pl, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",188
14844063,The Elephants Head,51.5407306,-0.1439389,ChIJO7RwguEadkgRkCO3MD_PitU,"224 Camden High St, London",2,4.3,"bar,point_of_interest,establishment",2795
15022052,El Vino Fleet Street,51.5140192,-0.1092033,ChIJs73oJLMEdkgRTi3AY5xywJg,"47 Fleet St, London",2,4.5,"bar,restaurant,food,point_of_interest,establishment",51
15178072,The George,51.3794222,0.0187139,ChIJ23Ib742q2EcR1werBrjz7N4,"29 Hayes St, Bromley",2,4,"bar,restaurant,food,point_of_interest,establishment",423
15261063,The Unicorn,51.548844,-0.1294898,ChIJzZc4fgUbdkgRyAMZLEf-m8k,"227a Camden Rd, London",1,4.4,"bar,restaurant,food,point_of_interest,establishment",536
15726000,The Berrylands,51.3980556,-0.2805556,ChIJK5C_XH0JdkgRABycFpVmFKk,"107 Chiltern Dr, Surbiton",2,4.4,"bar,restaurant,food,point_of_interest,establishment",309
15975052,The Hand and Shears Pub,51.5193405,-0.0987911,ChIJlSkCF1QbdkgRC-pB-jBYAvs,"1 Middle St, London",2,4.3,"bar,point_of_interest,establishment",251
16036072,Swan and Mitre,51.4071209,0.0116277,ChIJq7Tvhm2q2EcRdqtsVbHPS-Q,"260-262 High St, Bromley",2,3.9,"bar,point_of_interest,establishment",412
16184075,The Railway Bell,51.4224833,-0.08229,ChIJRSjzZ1ABdkgRz27BEZZiU7M,"14 Cawnpore St, London",1,4.4,"bar,point_of_interest,establishment",78
16801000,The Jolly Badger,51.617084,-0.2604623,ChIJ889wdb8WdkgRVu3MX9QNQqk,"128 Hale Ln, Edgware",2,3.7,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment",1042
16954068,The Cat & Mutton,51.5374485,-0.0609716,ChIJyZP0SOgcdkgRYTB9zS1w46E,"76 Broadway Market, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",973
17124052,The Woodins Shades,51.518225,-0.0792972,ChIJGbNQTbIcdkgRkcTGKKYnMn8,"212 Bishopsgate, London",2,3.9,"bar,restaurant,food,point_of_interest,establishment",1013
17318072,The Lord Holmesdale Bromley,51.3999549,0.0338224,ChIJFyrZSEWq2EcRcBN9mSCzWu8,"184 Homesdale Rd, Bromley",2,4.2,"bar,point_of_interest,establishment",58
17786051,Aspen Tree,51.6003449,0.1771226,ChIJ6xWp9Fej2EcR5VLeZCtEpfA,"Gobions Ave, Collier Row, Romford",1,3.9,"bar,point_of_interest,establishment",299
18093068,Prince Arthur,51.5274203,-0.0852247,ChIJZ5xPpqUcdkgRWNyLa1I_OVI,"49 Brunswick Pl, London",2,4.4,"bar,point_of_interest,establishment",325
18159071,The Lord Raglan,51.4860657,0.0733921,ChIJuTl0AMOo2EcRjIEdowBTgN8,"158 Burrage Rd, London",1,4.2,"bar,point_of_interest,establishment",47
18407068,"The Artillery Arms, EC1",51.5234018,-0.0900568,ChIJ78w25KgcdkgRiPn7bh41Ys4,"102 Bunhill Row, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",624
18756075,Two Brewers,51.463071,-0.1348622,ChIJ69q0AlIEdkgR_Wzl956w0ws,"114 Clapham High St, London",2,4.2,"night_club,bar,point_of_interest,establishment",648
18784075,The Railway Tavern,51.4645591,-0.1312161,ChIJHc02i00EdkgRZs4pZUxzZFE,"18 Clapham High St, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",469
19548075,The Phoenix,51.46876,-0.127084,ChIJY_4H-VkEdkgRT3Lu0LMrE5w,"348 Clapham Rd, London",2,4.1,"park,bar,restaurant,food,point_of_interest,establishment",186
19587068,Tarmon Free House London,51.5388256,-0.1164303,ChIJbd1BpmYbdkgRujL9_rLOcmU,"243 Caledonian Rd, London",,3.9,"bar,point_of_interest,establishment",23
19707068,Kennedy's,51.5407968,-0.1171908,ChIJF59nUmsbdkgRM6GnMZhFG3s,"297 Caledonian Rd, London",,3.5,"bar,point_of_interest,establishment",62
19874068,The Thornhill Arms,51.5343972,-0.1169508,ChIJJ4G2c0AbdkgRxigweuKZ0BY,"148 Caledonian Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",255
20781068,Camden Head,51.5356436,-0.1028812,ChIJB7K1f2cbdkgRRdHXSVorebM,"2 Camden Walk, London",2,4.2,"bar,point_of_interest,establishment",929
21576052,The Grapes,51.5122616,-0.0831059,ChIJLZ_aYlIDdkgRyfkxqKP_IKM,"14 Lime St, London",,3.9,"bar,restaurant,food,point_of_interest,establishment",144
21886052,East India Arms,51.5123548,-0.0792519,ChIJiy8xqk0DdkgRM48HO2GWqAs,"67 Fenchurch St, London",2,4.1,"bar,point_of_interest,establishment",308
22035052,New Moon,51.5128833,-0.0841478,ChIJ2xNZ8FIDdkgR9hcUtToJBYU,"88 Gracechurch St, London",2,4,"bar,point_of_interest,establishment",496
22117068,The Sutton Arms,51.5206989,-0.0981575,ChIJ43ABmVYbdkgRBHWIIs8i-wg,"6 Carthusian St, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",309
22306082,Courtfield,51.4922222,-0.1925,ChIJ53Q2E4sPdkgRiUrEyT7IGhQ,"187 Earls Ct Rd, London",2,3.9,"bar,point_of_interest,establishment",1330
22897052,The Sugar Loaf,51.5122946,-0.0928427,ChIJg9xwnlUDdkgRD1e4TSIPT4g,"65 Cannon St, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",898
23423052,The Ship,51.510895,-0.0799429,ChIJvf4PSlIDdkgRXr8sa4zcPGE,"3 Hart St, London",2,4.1,"bar,point_of_interest,establishment",172
23484075,The Steam Engine Waterloo,51.496831,-0.112673,ChIJOV7si74EdkgRovp3zUmzasA,"41-42 Cosser St, London",2,4.4,"bar,point_of_interest,establishment",144
23709072,Prince Frederick,51.4158344,0.0198083,ChIJ6c6XmRaq2EcRzcRhlBnJHAo,"31 Nichol Ln, Bromley",1,4.1,"bar,point_of_interest,establishment",121
23855072,The Red Lion,51.4099778,0.0216528,ChIJDT1MNRWq2EcRCIF-jEsCZ8Q,"The Red Lion, 10 North Rd, Bromley",2,4.5,"bar,point_of_interest,establishment",137
24076052,The Magpie,51.5171306,-0.0790527,ChIJaxiR_bIcdkgRAzAn0Ao9pX4,"12 New St, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",714
24208071,The Vanbrugh,51.4833849,0.0078967,ChIJh-PyYi-o2EcRAyBuxRZOcOI,"91 Colomb St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",443
24415072,The Two Doves,51.3728,0.039652,ChIJ7aThouaq2EcR50wXKJN-k5w,"37 Oakley Rd, Bromley",1,4.4,"bar,point_of_interest,establishment",100
24724052,"The Harrow, EC4",51.5130038,-0.1067517,ChIJPQ11jrIEdkgRZ4CRZBZhjx0,"Whitefriars St, London",2,4.2,"bar,point_of_interest,establishment",173
24729057,The Coppermill,51.579865,-0.0412484,ChIJn8cDnwwddkgRsGbcxAZkNV4,"205 Coppermill Ln, London",,4.5,"bar,point_of_interest,establishment",52
24752052,Lord Raglan,51.5165418,-0.0967341,ChIJLav54VQbdkgRptTbcIU4vO8,"61 St Martin's Le Grand, London",2,3.9,"bar,point_of_interest,establishment",798
24771052,The Walrus and The Carpenter,51.5095187,-0.0842012,ChIJa3YTiVEDdkgRcte3J5buCFI,"45 Monument St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",827
25392072,The White Horse,51.4098051,0.0209892,ChIJbV9r3Gqq2EcRUJTvYBroj38,"64 Palace Rd, Bromley",,4.5,"bar,restaurant,food,point_of_interest,establishment",45
25418072,Anglesey Arms,51.408704,0.020848,ChIJ86jm3Wqq2EcRNp1GjDuEbYg,"90 Palace Rd, Bromley",2,4.5,"bar,point_of_interest,establishment",100
25547052,The Ship,51.511081,-0.084789,ChIJvf4PSlIDdkgRVBOH5l4Lsf4,"11 Talbot Ct, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",667
25549081,"The Rose & Crown, Ealing",51.5040792,-0.305906,ChIJd2xIVO0NdkgRVIJOUl35Ma0,"Church Gardens, St Mary's Rd, London",2,4.5,"bar,restaurant,food,point_of_interest,establishment",596
26206052,The Blackfriar,51.5121142,-0.1037128,ChIJKatbfqUEdkgRDmgIHPcWgBU,"174 Queen Victoria St, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",3276
26907071,The Yacht,51.4846861,-0.0039142,ChIJGc8P3ZwCdkgRsPN5-7LiLSo,"5 Crane St, London",2,4,"bar,point_of_interest,establishment",690
27026071,The Duke,51.481161,-0.0204026,ChIJf8P4qY0CdkgRFqFozlWbDnU,"125 Creek Rd, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",334
27868082,Coopers Arms,51.4862043,-0.1651717,ChIJl-OC2WwFdkgR6hNaM_c7Rcc,"87 Flood St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",314
28386082,The Kings Arms,51.4861333,-0.1808389,ChIJcVCnY2QFdkgRrpfE4yOZP0w,"190 Fulham Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",359
28753051,The Sun Public House,51.5754201,0.1761225,ChIJ3X4j08ek2EcRzrUZgEPmWws,"47 London Rd, Romford",,4.2,"bar,restaurant,food,point_of_interest,establishment",119
29432075,The Florence,51.4527098,-0.1030404,ChIJY4FC2nIEdkgR1ntDmxvSHpc,"131-133 Dulwich Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",766
29484075,The Prince Regent,51.4538256,-0.1065024,ChIJ80PdbW0EdkgRUlHh8tnK10Q,"69 Dulwich Rd, London",2,3.9,"bar,restaurant,food,point_of_interest,establishment",346
29554082,"The Hereford Arms, South Kensington",51.4929047,-0.1812864,ChIJgQFoT2cFdkgRPqKqQg_KNC0,"127 Gloucester Rd, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",1332
29651068,"The Crown, Islington",51.5373377,-0.1095994,ChIJtelIx2kbdkgRdCgaPeEhkw8,"116 Cloudesley Rd, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",374
29877051,Gidea Park,51.5869262,0.2005944,ChIJtZRWYEW72EcRN9VoIwckuro,"91 Main Rd, Romford",2,3.7,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment",511
30072075,The Beehive,51.484862,-0.118378,ChIJ2WsBG-0EdkgRx9yI8-t6E8Y,"51 Durham St, London",2,3.9,"bar,restaurant,food,point_of_interest,establishment",353
31000053,The Kings Head,51.5782922,-0.1242521,ChIJfRLcUMcbdkgRubz156ctt2I,"2 Crouch End Hill, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",521
31017068,The Compton Arms,51.5436343,-0.1020274,ChIJub3CWWQbdkgRIIxL6yYu9aw,"4 Compton Ave, London",,4.3,"bar,restaurant,food,point_of_interest,establishment",316
31023053,The Railway Tavern,51.5776914,-0.1244779,ChIJo-BopLgbdkgR6M52oX4yGpM,"23 Crouch End Hill, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",325
31888075,The Earl Ferrers,51.4237594,-0.132618,ChIJs1FtT4QGdkgRm_PSjlfmaXw,"22 Ellora Rd, London",2,4.5,"bar,restaurant,food,point_of_interest,establishment",256
32127072,The Crooked Billet,51.3902979,0.0541006,ChIJqQl__qer2EcR02fEAZunsz4,"286 Southborough Ln, Bromley",2,3.9,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment",970
32758082,"The King's Head, Earl's Court",51.4933783,-0.1926197,ChIJVSFsSYsPdkgRWTkTCQOHORk,"17 Hogarth Pl, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",839
32862068,The Castle Farringdon,51.5202542,-0.104275,ChIJzdy2ilEbdkgR5_OI0CerwLI,"34-35 Cowcross St, London",2,3.9,"bar,restaurant,food,point_of_interest,establishment",776
33142084,Crooked Billet,51.4214594,-0.2277807,ChIJO2xFtNAIdkgRBR4WXqdGLBo,"14, 15 Crooked Billet, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",737
33457065,Wards Freehouse,51.5792329,-0.33969,ChIJOfvD5XITdkgRnEkhNpKuqY0,"38-40 Lowlands Rd, Harrow",1,4.4,"bar,point_of_interest,establishment",62
33683082,The Castle,51.5069909,-0.2070275,ChIJRYzTYeYPdkgRNKSgVlS-dNI,"100 Holland Park Ave, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",514
34240057,The Bell,51.5902028,-0.0170448,ChIJSwlOvuUddkgRJM_Ry9bSQig,"617 Forest Rd, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",1034
34373082,Crown & Sceptre,51.4979634,-0.2074568,ChIJKS0mx-sPdkgRiCE1foEBkoQ,"34 Holland Rd, London",,4.2,"cafe,lodging,bar,restaurant,food,point_of_interest,store,establishment",408
34390051,Deers Rest Romford,51.6169619,0.219031,ChIJddAXF5S82EcRX2Kkt-Ske0w,"Noak Hill Rd, Romford",1,3.5,"bar,point_of_interest,establishment",371
34531075,The Duke of Edinburgh Pub | Brixton,51.4632759,-0.1199887,ChIJG6XAJ10EdkgRvIN4bJSzIbM,"204 Ferndale Rd, London",2,4.2,"bar,point_of_interest,establishment",1001
34693082,The Elephant and Castle,51.5030327,-0.1935654,ChIJObvQRvcPdkgRfL7Pyuiu5Sw,"40 Holland St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",467
34916082,Hollywood Arms,51.4860568,-0.1841107,ChIJu3rHp2MFdkgRAsq4bQbbMb4,"45 Hollywood Rd, London",2,4.2,"bar,restaurant,food,point_of_interest,store,establishment",483
34970058,The White Swan,51.5125968,-0.0411789,ChIJ1zGigdQCdkgRAjU6Q7tAPeI,"556 Commercial Rd, London",,4,"night_club,bar,point_of_interest,establishment",52
35131058,The Hungerford Arms,51.514428,-0.057981,ChIJpRjGUC0DdkgRYwkoSdPleLA,"240 Commercial Rd, London",1,4.3,"bar,point_of_interest,establishment",149
35157058,George Tavern,51.5143847,-0.0527864,ChIJn0U4piwDdkgRoO_A75mIoho,"373 Commercial Rd, London",,4.3,"bar,point_of_interest,establishment",495
35386075,Oxymoron @ The Royal Oak,51.4933051,-0.1130635,ChIJS-pD6ZUEdkgRGVSxixNlWH0,"78 Fitzalan St, London",,4.6,"bar,point_of_interest,establishment",240
35620068,The Barley Mow,51.5260916,-0.0804827,ChIJnVd6mrocdkgRgfXs4p5D5BQ,"127 Curtain Rd, London",2,4.1,"bar,point_of_interest,establishment",354
35656068,The Horse & Groom,51.5228733,-0.0805221,ChIJvckmS7AcdkgR0uOiAopsCx8,"28 Curtain Rd, London",2,4,"night_club,bar,restaurant,food,point_of_interest,establishment",570
36870051,The Saxon King,51.6036533,0.2370941,ChIJK1aUc3682EcRLBgu6kJa7uw,"Petersfield Ave, Romford",1,4.1,"bar,point_of_interest,establishment",67
37121068,Earl of Essex,51.5338611,-0.0996806,ChIJhZIqd14bdkgR4zDh3BJaasI,"25 Danbury St, London",2,4.5,"bar,point_of_interest,establishment",893
37314082,"The Churchill Arms, Kensington",51.5069117,-0.194801,ChIJGTDVMfoPdkgROs9QO9Kgmjc,"119 Kensington Church St, London",1,4.5,"bar,restaurant,food,point_of_interest,establishment",4199
37378075,The Great Southern,51.4239153,-0.0837886,ChIJ520LN2EBdkgR2exzmZVfSQQ,"79 Gipsy Hill, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",128
37463082,Prince of Wales,51.5023444,-0.1909013,ChIJeSsKCPcPdkgRGIBOI2tWFhM,"8 Kensington Church St, London",2,4.1,"bar,point_of_interest,establishment",814
37563065,The Case is Altered,51.6204888,-0.3476875,ChIJe3expOwUdkgRyYV_qDVtHnM,"Old Redding, Harrow",1,4,"bar,restaurant,food,point_of_interest,establishment",216
37816063,One Tun,51.5191073,-0.1366888,ChIJQ2C9wSsbdkgRijTMvBIaMfE,"58-60 Goodge St, London",2,4,"bar,point_of_interest,establishment",481
38209082,The Builders Arms,51.4994189,-0.1883301,ChIJ2xcyHPYPdkgRuTc4LY57Ceg,"1 Kensington Ct Pl, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",663
38227071,The Beehive,51.4391675,0.0708328,ChIJFyeDnl2p2EcRGdGuBg-7WaI,"365 Footscray Rd, London",2,3.9,"bar,point_of_interest,establishment",191
39499072,The New Inn,51.3759217,0.0112899,ChIJ2-Q3hpqq2EcRUEeiqpcoNFw,"59 Station Approach, Hayes, Bromley",2,4.2,"restaurant,bar,food,point_of_interest,establishment",442
40270072,The Fox Inn,51.3619863,0.0274162,ChIJiTJbt8Wq2EcRXgu3uGInfTM,"2 Heathfield Rd, Bromley, Keston",2,4,"bar,restaurant,food,point_of_interest,establishment",197
40357075,The Rabbit Hole,51.4217597,-0.1298031,ChIJC4BYQoUGdkgRkseYaSWoy-s,"151-153 Greyhound Ln, London",2,4.4,"bar,point_of_interest,establishment",427
40502072,Crown Inn,51.3396902,0.0304116,ChIJGx9SIjFV30cROFpfDHDuVN0,"Leaves Green Rd, Leaves Green, Keston",2,3.8,"bar,restaurant,food,point_of_interest,establishment",206
40503075,The Railway,51.4183667,-0.1347294,ChIJCcNkzYgGdkgR8dPjET2qYIc,"2 Greyhound Ln, London",2,4.4,"bar,point_of_interest,establishment",607
40601068,The Drayton Park,51.5534631,-0.1047267,ChIJ5X7nLHgbdkgRuo18yDghoXM,"66 Drayton Park, London",2,3.8,"bar,point_of_interest,establishment",124
41664000,Retro Bar,51.5091388,-0.1235426,ChIJ347Drc4EdkgRTjjRPSD3YDI,"2 George Ct, London",2,4.4,"night_club,bar,point_of_interest,establishment",335
41786075,The Bricklayers Arms,51.4313937,-0.0921178,ChIJM0U0blUBdkgRvNqptoZhCnU,"1 Hamilton Rd, London",,4.1,"bar,point_of_interest,establishment",25
42360065,Salt Bar Restaurant,51.569478,-0.346419,ChIJcUCi4BATdkgRqORPMjG4LhY,"1 Roxeth Hill, South Harrow, Harrow",2,4.1,"bar,restaurant,food,point_of_interest,establishment",175
42551058,Sir Sydney Smith,51.509951,-0.068344,ChIJaWZe2TUDdkgRFqXbz4afxvA,"22 Dock St, Tower Hill, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",151
42627057,Old Hall Tavern,51.6174564,-0.0280365,ChIJycXUxWsedkgRKR0ByHqB188,"200 Hall Ln, London",2,4.3,"bar,restaurant,food,point_of_interest,establishment",276
42835082,The Ladbroke Arms,51.5090846,-0.2029346,ChIJB9cPfeQPdkgRSd-oA-sUBm0,"54 Ladbroke Rd, London",2,4.5,"bar,point_of_interest,establishment",337
44299051,The Harold,51.5941667,0.2352778,ChIJxbYOUX-72EcRvtaHZfOVjSA,"51 Station Rd, Harold Wood, Romford",1,4.3,"bar,point_of_interest,establishment",233
44302053,The Clissold Arms,51.590668,-0.155399,ChIJByJFkyQadkgRgB36hRD4HAY,"105 Fortis Green, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",446
44415071,The Elephant & Castle,51.4908333,0.0688889,ChIJdYV6Xeqo2EcRxp6HFIysiIg,"18 Greens End, London",1,4,"bar,point_of_interest,establishment",115
44621075,The Pineapple,51.4972278,-0.1138738,ChIJ3VDU-r4EdkgRTxTmIVTL0ao,"53 Hercules Rd, London",,4.1,"bar,restaurant,food,point_of_interest,establishment",328
44679071,Spanish Galleon,51.4816837,-0.0098928,ChIJYUXIE4UCdkgRAGQwrM9_3Ow,"48 Greenwich Church St, London",2,4,"bar,restaurant,food,point_of_interest,establishment",512
44690071,The Gipsy Moth,51.4823014,-0.0097648,ChIJh9WHPoUCdkgRmJwRkyr37LU,"60 Greenwich Church St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",2312
44844071,North Pole Bar and Grill,51.4769,-0.016783,ChIJR9goJokCdkgRAZdPIqf20zs,"131 Greenwich High Rd, London",2,3.9,"bar,restaurant,food,point_of_interest,establishment",582
44964068,The Alpaca,51.5384361,-0.0989861,ChIJwQ2hIGEbdkgRox08cvaRZgs,"84-86 Essex Rd, London",2,4.2,"bar,point_of_interest,establishment",375
44987071,Coach and Horses,51.481303,-0.009066,ChIJUeZvHYUCdkgRsDlJW-4R_Lc,"Greenwich Market, London",2,4,"bar,point_of_interest,establishment",416
45022068,The Green Man,51.5395359,-0.0973601,ChIJuUWgDmEbdkgRCZpDw_75LW0,"144A Essex Rd, London",2,4,"bar,point_of_interest,establishment",124
45116068,The Kings,51.537595,-0.1004602,ChIJ-S8EqGcbdkgR4YSmJ1sOxU0,"59 Essex Rd, London",2,4.2,"bar,point_of_interest,establishment",162
45781071,The Birchwood,51.4977819,0.1150176,ChIJa6iFpEGv2EcRZ4NiV2M1JCg,"Grovebury Rd, London",2,4.5,"bar,point_of_interest,establishment",131
45958068,The Exmouth Arms,51.5257778,-0.1096528,ChIJ5UjKnEUbdkgREgHDGTZlDN8,"23 Exmouth Market, London",2,4.3,"bar,point_of_interest,establishment",943
