locations_N1,locations_N2,features1,features2,store_features1,store_features2,error,locations_S1_1,locations_S2_1,locations_S1_2,locations_S2_2,locations_S1_3,locations_S2_3,locations_S1_4,locations_S2_4,locations_S1_5,locations_S2_5,locations_S1_6,locations_S2_6,locations_S1_7,locations_S2_7,locations_S1_8,locations_S2_8,locations_S1_9,locations_S2_9,locations_S1_10,locations_S2_10,locations_S1_11,locations_S2_11,locations_S1_12,locations_S2_12,locations_S1_13,locations_S2_13,locations_S1_14,locations_S2_14,locations_S1_15,locations_S2_15,locations_S1_16,locations_S2_16,locations_S1_17,locations_S2_17,locations_S1_18,locations_S2_18,locations_S1_19,locations_S2_19,locations_S1_20,locations_S2_20,locations_S1_21,locations_S2_21,locations_S1_22,locations_S2_22,locations_S1_23,locations_S2_23,locations_S1_24,locations_S2_24,locations_S1_25,locations_S2_25,locations_S1_26,locations_S2_26,locations_S1_27,locations_S2_27,locations_S1_28,locations_S2_28,locations_S1_29,locations_S2_29,locations_S1_30,locations_S2_30,locations_S1_31,locations_S2_31,locations_S1_32,locations_S2_32,locations_S1_33,locations_S2_33,locations_S1_34,locations_S2_34,locations_S1_35,locations_S2_35,locations_S1_36,locations_S2_36,locations_S1_37,locations_S2_37,locations_S1_38,locations_S2_38,locations_S1_39,locations_S2_39,locations_S1_40,locations_S2_40,locations_S1_41,locations_S2_41,locations_S1_42,locations_S2_42,locations_S1_43,locations_S2_43,locations_S1_44,locations_S2_44,locations_S1_45,locations_S2_45,locations_S1_46,locations_S2_46,locations_S1_47,locations_S2_47,locations_S1_48,locations_S2_48,locations_S1_49,locations_S2_49,locations_S1_50,locations_S2_50
2.375,6.875,0.26204768,0.43015218,0.25159526,0.3469818,0.189700306,5.375,3.25,2.25,1.375,3.625,8.875,6.75,5.875,1.5,6.75,2.5,7.875,4.625,1.875,6.75,8.75,8.5,8.875,7.875,4.25,4.375,6.625,6.25,6.875,7.75,3.75,2.75,3,3.75,4.5,8.625,6.25,7.25,2.25,2,4.75,2.5,4.375,5.75,3,1.75,1.25,7.25,2.625,3.5,3.75,4.25,4,7.125,3.375,5.375,5,7,5.25,6.875,6.375,7,8.375,4.5,8.125,5.25,4.125,5.875,7,2,8.375,3,8.25,7.75,8,1.5,4.75,4,3.875,4.125,2.625,2.25,3.375,3.75,3.125,6.75,6.125,8.375,3.75,2.125,2.875,2.875,5.75,1.5,5.625,1.5,7.625,2.875,7.375,6.625,1.625,5.25,7.25,2.375,6.5
4.25,5.375,0.61687034,0.46515006,0.32346502,0.16885172,-0.189588217,4.125,3.125,6.125,2.625,7.125,5.625,1.875,7.25,8.75,4.125,2.875,7.375,3.125,2.875,7.875,7.375,3.625,6.5,6.75,7.625,7.625,3.75,3.25,3.5,8.25,3.875,3.375,8,8.75,2,7.375,5.875,2.75,3.875,8.375,5.375,1.25,1.75,8.375,8.75,8,8.125,2.625,1.125,6.375,1.875,3.25,4.5,3.5,8.375,7.875,4.75,5.125,8.75,1.625,2.25,3.375,7,1.25,4.125,5.5,2.875,6.375,1.625,7.5,4.875,3.75,7.5,7.5,3.125,4.375,1.5,8.125,7.625,6.375,5.125,1.375,6.125,2.125,2.75,8.625,4,8,7.375,1.25,6.25,8.375,8.375,5.375,4.75,2,7.125,2,7.75,4.75,2.625,3.625,5.625,3.5,1.875
1.625,7.875,0.051885214,0.40491438,0.32161602,0.06483556,0.321027345,5.875,6.5,8.75,2.125,5.25,6.375,1.375,7.375,5.625,2.375,5.25,8.625,2.25,8.75,6.625,5.875,6.625,8.875,8.875,8.5,5.25,4.25,6.25,6.75,4.625,3.375,2.25,6,2.25,5,5,5.625,3.75,3.625,7.75,2.125,8.25,7.625,2.5,2.5,2.125,8.25,3.875,2.625,2.125,2,2.625,5.625,5.125,4,1.125,8.875,4.25,7.125,2.875,1.25,3.875,8.125,4.25,6.625,8,1.25,4.25,2.375,3.375,3.125,4.75,2,3,3.625,5,5.125,8.875,1.75,6.625,5.375,7,5,2.25,7.25,4.25,4.5,4.125,4.125,2,8.5,2.25,5.5,1.125,1.875,7.5,1.875,7.625,8,8.375,4.875,2.75,5.375,5.625,6.375
1.625,5.5,0.4806676,0.30653474,0.11000146,0.04026574,-0.988943966,7.625,7.5,2.125,7.625,7.125,8.875,3.75,6.125,6.25,5.625,3,5,1.75,8.75,2.75,6.5,5.5,1.875,7.75,7.875,4.625,3,1.125,4.875,4.625,2.125,1.625,6.875,2,6.625,7,4.375,2.75,5,8.875,6.25,8.125,7.125,3.75,1.625,8,2.125,1.75,5.375,5.625,6.375,5.75,3.125,5.5,8.25,8.625,8.125,6.75,2.5,3.25,5.625,8.375,5.25,4.875,2.375,4.5,4.5,6.5,1.125,1.625,7.875,8,4.125,8.75,1.5,6.75,8.625,2,1.375,1.375,6.625,8.5,5.375,1.5,2.375,2.375,3.875,4.625,3.875,8.5,5.375,4.375,2,3.875,8.625,3.125,1.375,5.5,7,4.25,7.5,2,2.375,2.25,7.5
5,8.5,0.5366298,0.1554338,0.08424342,0.17873463,0.356132318,7.875,4.375,8.875,5,1.875,5.875,6.875,8.875,4.625,4.75,3.25,5.875,6,7.25,4.125,4.25,1.375,2.25,8.75,6.875,2.375,8.375,5.25,3.5,4.125,1.875,2.625,3.75,1.25,3.125,6.625,3.25,5.125,7.875,2.375,7.875,4.25,8.125,3.875,2.375,3,3.75,8.625,8,3.75,5,5.5,2.5,4,5.375,7.5,8.25,4.875,4.25,1.25,1.375,3.375,4.5,5,3.75,4.625,4.875,8.75,4.875,2.125,5.375,3.125,1.75,3.25,3.25,6,5.875,7.25,4.5,5.625,6.625,2.375,5.875,6.125,6.75,2.625,8.125,4.625,5,6.375,3.5,4.75,4.25,2.25,3.125,5.875,4.625,2.625,7.625,5.375,2.25,6.25,1.25,6,3.125
4.875,7.25,0.5199683,0.5745129,0.02042477,0.098357566,1.299151964,1.25,8.5,3.375,1.125,7.5,2.125,7.25,4.375,1.625,2.625,8.375,8.125,3.625,6.375,3.625,2.375,8.375,4.25,1.25,6,2.5,8.625,8.875,3.125,3.75,6,3.125,7.75,7.25,3.125,2.125,2.75,6.625,2.625,2.125,5,6,4.375,3.875,3.875,1.25,2.75,6.5,8.875,6,7.125,2,5.125,4.75,8.375,8.375,5.125,1.375,4.375,6.5,1.75,8.875,8.75,5.375,8.5,4.5,7,1.375,2.625,1.5,4.75,3.125,3.625,8.625,1.25,7.875,8.625,3.75,7.125,3.375,6.5,6.125,6.375,3,8.625,7.875,5.875,6.875,8.375,8.125,4.25,5,7.25,6.5,3.875,6.75,8.625,5.875,3,5.125,5.25,1.25,6.25,1.875,7.875
5.625,4.875,0.64608747,0.40871355,0.13911353,0.11937109,-0.012312991,8.375,7.75,4.625,6,8.25,8,6.25,5.75,2,4.625,2.125,6.25,5,4.625,4.875,7,1.125,2.375,8.125,8,7.75,8.875,1.375,6,8.375,2.25,3.25,6.5,5.625,8.125,3.625,8.375,7.625,5.875,1.5,8.625,6.625,6.125,4.75,7,1.25,7,3.375,8.125,7.625,8.5,2.375,8.125,8,2.25,8.5,5.25,5.875,4.625,3.25,7.375,6.625,4,8.5,7.375,6.25,3.125,5.125,5.625,4,8,1.625,4.75,1.875,1.625,2.75,2.25,7,3.375,4.875,6.25,1.875,6.75,8.625,3.125,2,1.375,6.375,8.625,2.625,2.875,8.75,4.25,3.375,8.5,5.625,6.875,8.125,1.375,1.75,2,8.5,5.25,1.125,6.25
4.375,4,0.7384078,0.6609166,0.13687615,0.06189324,0.017071064,5.125,6.25,1.375,5.375,1.75,6.75,3.75,3.75,1.25,3.25,4.25,7.5,8.125,1.75,1.375,8.75,8,7.25,7.5,8.75,7.25,7.625,8.375,3.75,6.625,3.875,1.25,5.25,4.875,5.625,2.125,2.375,5.75,5.5,7.625,1.875,6.875,8.875,5.125,8.375,1.125,5.5,3,3.25,6.25,4.625,8.25,3.875,8,2.5,8.75,5.5,8.5,2.375,6.875,5.625,8.25,2.25,7.125,1.5,6.875,5.625,2.125,3.75,7.25,5.5,7.5,8,8.25,5.125,4,5.625,1.375,4,8.375,5.25,8.75,5.5,3.875,8.5,5.625,8.5,3.625,8.75,5.875,1.5,5.625,2.75,7.625,2,8.625,5.75,5.375,2.25,3.75,5.75,8.5,2.125,4.75,8.375
0.375,6,0.46314004,0.4267486,0.13710688,0.41177568,0.089774742,8.125,8.5,3.5,1.375,4.875,7,5.625,8.625,3.75,8.5,8.25,3.125,5.5,3,4,7.375,4.75,1.5,4,6,1.375,7.5,3.375,1.875,2.5,5.625,7,1.75,6.875,5.25,7.625,7.375,6.375,8.875,8,5.625,1.875,1.5,8.875,3.75,7.125,4.75,8.375,5.125,6.125,1.25,7.75,3,8.375,2.125,2.125,7.25,8.625,8,6.125,6,7.875,5,4.75,6.375,1.75,7.5,5.375,2.5,2.375,5.875,2.875,6.25,3,8.875,2.25,8.25,1.75,6.75,2.375,4.125,7,7.875,5.125,7.5,5.375,4.375,2,7.5,5.625,1.125,6.125,5.5,3.5,8.375,3.625,2.5,4.875,6.875,6.875,5.25,8,7.875,1.625,8.125
2,7.125,0.11780006,0.36059204,0.72915053,0.12241733,-0.930987855,5.5,5.875,2.375,2.375,8.25,8.75,8.625,5.375,7.75,6.625,3.75,4.875,3.75,5.5,4.625,7.625,2.625,5.5,2.5,4.25,2,8.75,2,4,6.125,4.75,5,4.875,6.875,6.625,1.125,8.125,4.5,1.75,2.75,5.75,3.75,3.125,6,8.625,4.25,2.5,3.625,2.25,4.375,7.75,3.5,3.625,7.625,2.5,4.125,6.875,4.875,4,4.5,1.5,6.25,4.625,8.25,4.625,7.75,5.125,4.75,3.25,8.5,5.875,4.25,2.375,3.125,6.75,5.75,1.25,2.5,3,2.125,2.25,7.5,1.25,5.75,4.25,1.625,2.125,6.125,8.25,7.25,4.625,3.75,6,6.25,1.125,8.5,2.125,8.875,8.625,2,5,7.5,5.625,3,4.125
7.25,10,0.35721326,0.3693034,0.24443415,0.014694895,0.21307332,6,8.5,2.375,7.125,1.125,8,8.875,6.25,1.5,2.75,2.5,6.875,2,4.75,2.875,8.875,5,6.125,8.5,3.75,6,1.5,4.25,4.75,5.375,8.75,5.5,4,1.375,7.875,8.125,2.25,8.5,2.625,1.125,8.125,7.125,7.625,8.375,2.125,7.125,2.625,7.375,6.75,2.5,8.875,1.25,8.25,7.25,5.375,6.5,8.625,3.875,6,2.625,3.75,3,1.875,5.375,2.875,8.25,1.75,7.25,1.625,4.5,2.5,1.375,7,7,5.125,7.5,7.75,4.625,7.875,3.75,2.125,7.5,1.75,6.625,8.375,1.75,2.625,2.125,1.5,7.125,3.625,4.75,1.75,6.25,4.75,6.25,2.375,6.5,4.125,6.375,3.5,3.375,4.875,5.125,6.125
4.75,1.25,0.75498414,0.5979882,0.09287006,0.09220402,-0.802704872,4.75,3,1.125,4.25,2.625,4.625,8,8.5,3.5,4.75,8.625,1.5,8.375,4.5,5.75,2.625,7.5,3.5,3.875,8,6.5,3,2.25,5.25,7.875,3.375,1.5,8.375,8.875,3.5,6.125,3.625,5.125,5.125,1.125,8.75,2,4.625,8.75,8.625,7.75,5,1.125,5.625,2.625,2.375,1.625,1.625,2.875,1.625,2,8.375,4.75,5.125,3.125,7.375,2.25,2.375,1.125,7.375,8.375,2.875,4.125,1.5,5,8.125,8.125,8.75,7,3.625,6.625,7.375,6.5,5.625,8.5,8.5,7.75,6.5,2.625,2.5,7.375,2.375,8.375,1.625,5.75,4,7.25,8.125,8.5,2.5,4.125,3.875,7.375,7.625,6.125,5.5,3.75,5.25,2.25,7.875
0.125,8,0.16943227,0.38469416,0.5072696,0.04574187,-0.213839799,6.375,3.5,3.625,5.125,2.25,2.25,3.75,2.5,3.125,2.75,3.125,5.75,4.25,3.5,3,8,5.875,7.375,2.625,4.5,1.375,4.25,8.125,4.75,4,6.25,4.375,6.25,6.875,8.875,1.125,6.125,3.25,6.5,6,7.75,7.5,3,1.25,3.75,5.875,7,4.375,2.25,8.25,8.5,2.875,8.25,5.625,6.5,8.5,8.75,1.75,4.25,5.75,6.25,8.375,2.25,4.75,4.25,8,6.375,8.625,7.25,6.5,2.5,2.125,4.125,1.75,7.875,5.125,1.125,8.5,6.375,5,4,1.875,6.75,5.875,7.875,5.75,7.625,7.375,7.375,1.5,1.125,6.5,6,7.25,6.125,5.125,4.875,5.75,8.25,3.75,3,6.5,3.75,3.5,4.25
5.875,6.875,0.3236098,0.55424815,0.16354854,0.78698474,0.621434775,4,1.625,7.25,6.25,6.75,2.125,7.625,3.125,2.875,6.5,5.625,4.75,7.25,4.625,1.875,3.375,3.5,8.75,7.125,5.5,3,8.375,7.125,7,7,8.875,7.25,2.375,6.125,1.875,3.75,1.75,4.125,1.875,4.25,5.625,1.875,3.25,5.125,4.375,4.5,2,1.5,8.25,8.75,4.25,4.125,2,6.375,4.75,2.625,6.875,1.875,6.625,5,2.75,7,5.875,7.5,3,5.5,5.5,7,8,5.75,3.875,4,2.375,6,1.125,3.25,1.25,7,2.25,1.625,6.25,5.25,5.875,6.125,3.375,8.25,6.125,4.75,4.625,6.625,5.625,3,4.75,5.25,4.5,2.875,1.5,3.5,8.75,6.25,3.75,7.75,1.875,5.875,2.125
0.375,4,0.6691569,0.43817326,0.18213142,0.16975667,-0.367608478,7.5,5.25,4.5,3.125,2.625,5.875,1.5,2,5.625,7.625,8.5,2.625,4.125,6.25,7.375,3.125,6.125,1.625,6.625,6.875,2.125,4.125,4.5,7.75,3.125,7.5,5.125,6.375,2.625,6.375,1.75,4,4.375,5.625,8.875,2.125,7.875,3.5,7.5,1.625,2.125,7,2.625,7.5,5.75,7.625,5,2.375,5.75,7.375,6.75,5.125,3.625,7.125,8.625,3.875,8,6.5,7.625,1.375,6.625,5.75,8,2.375,6.125,6.625,2.75,1.25,1.25,4,3.875,7.125,5.5,5.375,8.5,6,6.375,1.125,4.5,4.625,2.75,5,3.625,1.375,3,2.75,7,1.75,4.25,2.625,2.625,5.25,7.625,8.625,3,4.625,7.375,1.625,6.25,6.75
1.875,2.75,0.5834887,0.5470989,0.028537553,0.3202035,0.250624495,1.125,7.5,2.5,3.625,7,2.875,7.625,5.5,3.5,2.5,7.875,6.5,3.125,4.875,7.75,4.875,8.75,1.5,6.25,4.625,1.5,3,6.5,1.625,4.5,7.375,7.875,1.5,3.625,8.75,8.875,8,4.375,3.375,7.75,7.125,6.125,5.75,8,4.375,2.75,1.75,3.5,4.25,8.875,2.75,5.625,6.125,5,3,2.375,8.5,3.625,5.25,6.375,5.375,8.25,4.125,2,7.125,5.25,7.375,2.625,3,4.5,4.125,3.5,3.125,3.375,2.375,3.25,1.125,8.125,5.375,4.375,5,1.625,3.875,1.125,4.25,5.75,5.875,6.75,3.25,8.25,4,7.25,5.875,8,7.5,7.625,1.875,7.75,6.25,8,6.625,5,5.25,4.5,2.625
8.875,8,0.43078405,0.36840403,0.23069225,0.13945517,0.506369527,2.5,1.875,7.625,3.125,3.5,2.875,7.375,3.875,8.75,3.625,6.25,4.25,2.625,5.375,7.875,8.875,5.75,2.75,4.25,1.125,1.875,7.375,7.5,5.875,3.75,1.875,1.875,3.125,4.5,6.625,2.5,2.875,4.75,3.625,4.75,2.375,2.25,1.5,1.375,3.875,8.625,3.25,5,3.375,5.5,1.375,8,5,5,8.625,2.375,1.5,5.875,7,2.5,8,3.625,8.875,7.75,4.5,7.125,5,3.375,5.25,5.625,2.75,2,4.875,6.25,8,6.75,4.75,8.375,1.875,1.125,7,4,6.5,4,7.875,4.375,3.125,6.875,3.75,2.25,2.25,5.5,3.375,3.875,1.75,4.625,5.625,3.375,5.625,2.5,8.25,3.875,6.75,8,6.125
2.375,9.375,0.009755707,0.4875195,0.10253614,0.05968477,0.139370428,2.5,6.125,5.125,5.25,1.875,6.625,8.875,7.75,3.5,1.25,4.5,4.125,5.25,1.75,1.625,2.625,6.125,3.25,2,2.75,7.875,3.5,5.5,6.625,8.625,8.5,3.375,7.5,7.25,8.875,6.875,4,3.125,5.75,1.25,3.625,4,2.75,7.375,3.625,5,8.75,7.5,6.75,7.875,1.625,6.25,2.625,8.625,5.875,4.125,4.125,5.5,2.375,4.625,3.5,4.125,8.75,8.875,3.75,3.75,3.625,3.5,5,7.25,6.125,7.75,4.5,8.625,4,7.375,6.5,5.25,5.875,1.375,3.5,2.375,2.75,5,1.5,8.875,1.5,1.125,3.875,1.625,5,4.125,6.75,3,4.5,6.125,3.625,2.625,2,2.75,3.75,6.25,5,4.375,4.25
4.375,9.125,0.31109935,0.23652071,0.133007,0.20625144,-0.685474235,3.25,7,5.125,7.375,5.875,2,7.375,8.625,6,7.5,8.875,7.125,6.5,6.125,2.5,8,2.75,3.125,6,1.125,5.875,3.75,8,1.75,4,6,4.875,8.875,1.125,4.375,8.125,6.75,3.875,8,2.5,2.625,5.5,6.125,5.5,4.5,6.625,1.625,6.125,1.625,3.125,2.375,7.75,2.5,6.25,3.875,8.5,6.125,7,3.875,8.125,7.125,5.875,7.875,6.375,1.375,8.875,5,4.375,2.25,2.75,8.875,6.375,6.875,1.625,6.375,6.625,3.125,4,4.875,3.625,1.25,2.125,3.75,1.75,3.75,8.75,5.5,6.625,3,3.875,1.625,4.125,5,1.625,7.625,5.625,8.75,6,4.25,7.875,2.75,8.75,1.5,7.625,3.5
